City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jurado,CO,7.1053,-77.7641,82.72,83,100,5.5,moderate rain
1,Bluff,NZ,-46.6,168.3333,49.8,89,100,8.32,light rain
2,Balkhash,KZ,46.844,74.9804,74.41,46,63,21.09,broken clouds
3,Mataura,NZ,-46.1927,168.8643,49.48,99,100,1.16,light rain
4,Butaritari,KI,3.0707,172.7902,83.52,78,77,20.69,light rain
5,Torbay,CA,47.6666,-52.7314,60.49,90,83,21.92,broken clouds
6,Ushuaia,AR,-54.8,-68.3,31.66,86,40,21.85,light snow
7,Turukhansk,RU,65.8167,87.9833,36.14,98,100,10.76,light rain
8,Tigre,AR,-34.426,-58.5796,72.23,53,9,4.0,clear sky
9,Komsomolskiy,UZ,40.4272,71.7189,74.62,41,17,3.24,few clouds
10,East London,ZA,-33.0153,27.9116,67.1,67,27,13.87,scattered clouds
11,Gat,IL,31.61,34.7642,79.39,67,0,3.89,clear sky
12,Ponta Do Sol,PT,32.6667,-17.1,68.72,72,78,2.08,broken clouds
13,Dikson,RU,73.5069,80.5464,16.66,99,80,7.2,broken clouds
14,Hobart,AU,-42.8794,147.3294,43.02,82,40,1.01,scattered clouds
15,Bani Walid,LY,31.7566,13.9942,82.63,24,98,13.98,overcast clouds
16,Cidreira,BR,-30.1811,-50.2056,69.13,54,0,6.08,clear sky
17,Hilo,US,19.7297,-155.09,80.8,69,40,0.0,scattered clouds
18,Souillac,MU,-20.5167,57.5167,72.36,86,91,7.49,overcast clouds
19,Kapaa,US,22.0752,-159.319,78.78,80,90,1.01,light rain
20,Barrow,US,71.2906,-156.7887,30.22,86,90,12.66,overcast clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,30.9,72,100,10.04,overcast clouds
22,Atuona,PF,-9.8,-139.0333,78.93,74,17,14.45,few clouds
23,Lavrentiya,RU,65.5833,-171.0,32.79,92,6,8.72,clear sky
24,Busselton,AU,-33.65,115.3333,56.08,80,0,9.48,clear sky
25,Nyurba,RU,63.2842,118.3319,49.35,84,96,4.65,overcast clouds
26,Conde,BR,-7.2597,-34.9075,80.06,78,40,14.85,scattered clouds
27,Punta Arenas,CL,-53.15,-70.9167,35.71,51,40,15.03,scattered clouds
28,Rikitea,PF,-23.1203,-134.9692,71.89,57,68,7.14,broken clouds
29,Fomboni,KM,-12.28,43.7425,78.93,54,0,8.05,clear sky
30,Hasaki,JP,35.7333,140.8333,59.4,84,100,0.47,overcast clouds
31,Ilulissat,GL,69.2167,-51.1,57.22,30,40,17.27,scattered clouds
32,Chokurdakh,RU,70.6333,147.9167,34.79,70,4,9.46,clear sky
33,Bambous Virieux,MU,-20.3428,57.7575,72.21,87,43,8.95,light rain
34,Katsuura,JP,35.1333,140.3,62.71,87,100,12.75,overcast clouds
35,Longyearbyen,SJ,78.2186,15.6401,31.84,64,20,14.97,few clouds
36,Inhambane,MZ,-23.865,35.3833,68.27,66,0,5.48,clear sky
37,Albany,US,42.6001,-73.9662,74.17,47,9,5.01,clear sky
38,West Bay,KY,19.3667,-81.4167,84.99,79,28,1.99,scattered clouds
39,Saint-Philippe,RE,-21.3585,55.7679,72.99,78,49,6.8,scattered clouds
40,Kaeo,NZ,-35.1,173.7833,56.39,96,100,7.94,overcast clouds
41,Isangel,VU,-19.55,169.2667,68.76,62,99,4.09,overcast clouds
42,Vaini,TO,-21.2,-175.2,69.96,83,20,8.05,few clouds
43,Hermanus,ZA,-34.4187,19.2345,58.89,72,61,11.23,broken clouds
44,Nizhniy Tsasuchey,RU,50.5167,115.1333,45.39,55,52,7.85,broken clouds
45,Ixtapa,MX,20.7,-105.2,81.63,74,1,12.66,clear sky
46,Iqaluit,CA,63.7506,-68.5145,32.7,69,81,13.0,broken clouds
47,Salemi,IT,37.8231,12.8056,65.68,67,6,5.7,clear sky
48,Naze,JP,28.3667,129.4833,69.91,93,100,6.71,moderate rain
49,Yar-Sale,RU,66.8333,70.8333,36.32,63,99,5.37,overcast clouds
50,Flinders,AU,-34.5833,150.8552,54.21,73,19,4.0,few clouds
51,Harper,LR,4.375,-7.7169,80.31,81,28,6.8,scattered clouds
52,Rognedino,RU,53.8015,33.5576,59.25,82,100,2.51,overcast clouds
53,Manado,ID,1.487,124.8455,75.97,94,40,3.42,scattered clouds
54,Georgetown,MY,5.4112,100.3354,80.89,86,20,4.09,few clouds
55,Ahuimanu,US,21.4447,-157.8378,80.78,66,40,9.04,scattered clouds
56,Tasiilaq,GL,65.6145,-37.6368,42.96,88,100,11.27,overcast clouds
57,Copiapo,CL,-27.3667,-70.3333,56.89,24,80,5.79,broken clouds
58,Qaanaaq,GL,77.484,-69.3632,36.84,82,99,4.63,overcast clouds
59,Scottsbluff,US,41.8666,-103.6672,68.29,45,40,5.01,scattered clouds
60,Bengkulu,ID,-3.8004,102.2655,77.45,89,100,5.55,overcast clouds
61,Novaya Igirma,RU,57.1334,103.9112,29.79,95,13,3.13,few clouds
62,Bilma,NE,18.6853,12.9164,91.09,6,0,4.14,clear sky
63,Mehamn,NO,71.0357,27.8492,39.11,81,100,22.84,overcast clouds
64,Jamestown,US,42.097,-79.2353,69.12,51,1,5.01,clear sky
65,Kaitangata,NZ,-46.2817,169.8464,43.03,95,100,3.22,light rain
66,Achalpur,IN,21.2572,77.5086,88.63,45,100,10.25,overcast clouds
67,Hervey Bay,AU,-25.2986,152.8535,55.04,64,0,3.0,clear sky
68,Thompson,CA,55.7435,-97.8558,56.19,19,100,8.19,overcast clouds
69,Kingaroy,AU,-26.5333,151.8333,41.68,59,0,3.42,clear sky
70,Abnub,EG,27.2696,31.1511,89.26,14,0,10.27,clear sky
71,Severo-Kurilsk,RU,50.6789,156.125,38.62,92,93,9.46,overcast clouds
72,Iturama,BR,-19.7281,-50.1956,84.42,38,92,3.49,overcast clouds
73,Talnakh,RU,69.4865,88.3972,12.56,87,13,1.61,few clouds
74,Nanortalik,GL,60.1432,-45.2371,44.35,67,8,8.48,clear sky
75,Yellowknife,CA,62.456,-114.3525,58.32,50,13,11.99,few clouds
76,Nome,US,64.5011,-165.4064,60.12,57,1,6.91,clear sky
77,Dzhuryn,UA,49.0329,25.5839,57.18,80,52,2.17,broken clouds
78,Salalah,OM,17.0151,54.0924,82.49,83,20,3.44,few clouds
79,Minna,NG,9.6139,6.5569,82.24,59,73,4.68,broken clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,82.36,88,61,10.0,broken clouds
81,Port Elizabeth,ZA,-33.918,25.5701,59.09,73,100,12.3,overcast clouds
82,Gamba,GA,-2.65,10.0,76.12,90,95,5.08,overcast clouds
83,Tanggul,ID,-8.1645,113.4525,74.5,90,6,1.63,clear sky
84,Ust-Kuyga,RU,70.0167,135.6,53.65,60,11,2.57,few clouds
85,Snihurivka,UA,47.0758,32.8052,67.89,61,37,2.48,scattered clouds
86,Sakhipur,BD,24.3,90.1833,85.87,86,100,10.89,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,62.91,81,100,14.52,overcast clouds
88,Bima,ID,-8.4667,118.7167,75.92,95,8,2.59,clear sky
89,Mahebourg,MU,-20.4081,57.7,72.25,86,45,8.68,light rain
90,New Norfolk,AU,-42.7826,147.0587,42.66,78,75,1.01,broken clouds
91,Kapit,MY,2.0167,112.9333,74.48,100,96,0.69,overcast clouds
92,Vestmannaeyjar,IS,63.4427,-20.2734,45.82,74,26,29.53,scattered clouds
93,Sikasso,ML,10.9167,-7.0,92.35,34,23,6.15,few clouds
94,Kavaratti,IN,10.5669,72.642,83.26,76,10,16.02,clear sky
95,Vao,NC,-22.6667,167.4833,70.48,74,100,8.08,overcast clouds
96,Tongren,CN,27.7172,109.1853,66.33,91,95,1.39,light rain
97,Esperance,AU,-33.8667,121.9,58.1,49,25,17.0,scattered clouds
98,Boa Vista,BR,2.8197,-60.6733,80.58,83,75,3.44,broken clouds
